"value","attribute_id","store_id","row_id","parent_id","row_id","entity_id"
" POWERCAST","45","0","425","277","425","425"
"TROPHY RIDGE","45","0","426","277","426","426"
"BLOCK TARGETS","45","0","427","277","427","427"
"HOT SHOT","45","0","428","277","428","428"
"HAMSKEA	","45","0","429","277","429","429"
"CAJUN","45","0","430","277","430","430"
"RUSSELURE","45","0","431","277","431","431"
"SURFOX","45","0","432","277","432","432"
"FAVORITE USA","45","0","433","277","433","433"
"ER FISHING TACKLE","45","0","434","277","434","434"
"FATHOM OFFSHORE","45","0","435","277","435","435"
" GARMIN","45","0","436","277","436","436"
"GERMAN GEAR","45","0","437","277","437","437"
"LOWA","45","0","438","277","438","438"
"NORDAY	","45","0","439","277","439","439"
