value_id,attribute_id,store_id,row_id,entity,value,brand-name,category_id,brand-name,QUERRY
24844,157,0,177,145,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,145);"
24845,157,0,178,146,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,146);"
24846,157,0,179,147,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,147);"
2162,157,0,180,148,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,148);"
2172,157,0,181,149,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,149);"
2182,157,0,182,150,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,150);"
2192,157,0,183,151,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,151);"
2202,157,0,184,152,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,152);"
2212,157,0,185,153,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,153);"
136018,157,0,186,154,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,154);"
136019,157,0,187,155,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,155);"
136020,157,0,188,156,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,156);"
136021,157,0,189,157,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,157);"
136022,157,0,190,158,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,158);"
136023,157,0,191,159,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,159);"
136024,157,0,192,160,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,160);"
136025,157,0,193,161,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,161);"
136026,157,0,194,162,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,162);"
136027,157,0,195,163,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,163);"
136028,157,0,196,164,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,164);"
136029,157,0,197,165,17,RAPALA,280,RAPALA,"INSERT INTO  catalog_category_product (category_id,product_id) VALUES (280,165);"
